tweet,sentiment
የኢራኑ  ዋና ሜጀር ጄነራል ኮማንደር ሱሌይማን በአሜሪካው ድሮን ተገደሉ የሚሉ ዜናዎች እየወጡ ነው:: አሁኑኑ ነው ሶስተኛውን የአለም ጦርነት  ማፍራት..,negative
"rt  ይህ የሚያሳየን ክልሉ ተግባሩን በተመለከተ ያለው አቋም ከውግዘት በተቃራኒ ""ተራ"" እንደሆነ ማሰቡ ነው። ተግባሩን ለማረም እርምጃ ከመውሰድ ይልቅ ያቃጠለውን ሽብርተኛ አካል ላለማስከፋት ሲል ሙስ…",negative
እልከሰከሳለሁ እያጥራቸው ስር ስር፣ ፈተው እንደ'ምቦሳ ይለቁሽ ይመስል... የአርሶ አደር ወግ  via ,negative
 ጃዋር ምን ይላል በዚህ አሳብ,neutral
"ግለሰቦቹ ""አደንዛዥ እፆችን በመጠቀምና ይዘው በመገኘት፣ ሀላፊነትን ባለመወጣት በስራ ቦታቸው ባለመገኘት፣ ችግሩ ሲከሰት ሪፖርት ባለማድረግ"" ተከሰዋል።የዩኒቨርሲቲው ሴኔት ታሀሳስ 22 ባካሄደው አስቸኳይ ስብሰባ በተከሳሾቹ ላይ እርምጃ ወስዷል ",neutral
" ዶ/ር አቢ አህመድ ኢትዮጵያውያን እርስ በእርሳቹ ስትባሉ, የሀገሩን ችግር ሳላረጋጋ አይደል በማይመለከተው ነገር  ሲለፈለፍ የሚውለው።",neutral
"rt  ይገርመኛል 86 ንፁሀን ሲገደሉ ለቄሮ ድጋፍ ሲያደርግ የነበረው የኦሮሚያ ፖሊስ ግን አሁንም ደረቱን ገልብጦ ይፎልላል። 
adp is a dump ",neutral
rt  መልካም አዲስ አመት ከአገራችን ዉጭ ላለን ኢትዮጵያዊያን በሙሉ! 2020 አገራችን ኢትዮጵያ ስምምነት መግባባትና መተሳሰብ ወደነገሰበት አዲስ የታሪክ ምእራፍ እኛ ዜጎቿም ከእኔነት ወደ እኛነት የምን…,positive
  ምነው አይደለም እንዴ?,negative
"ፓስተር መሀሪ ታደሰ ወልደ ጊዎርጊስ የባህርዳር ከንቲባ ሆነ። 
 ",neutral
" ኦቦ ቡልቻ እውነተኛ የእርቅ እና የሰላም አምባሳደር።
እግዚአብሄር እድሜ ይስጥልን sir.",positive
"በጊምቢ ወረዳ በተሽከርካሪ አደጋ የ13 ሰዎች ህይወት አለፈ!

በምእራብ ወለጋ ዞን ጊምቢ ወረዳ ዛሬ ከረፋዱ አምስት ሰአት አካባቢ በደረሰ የተሽከርካሪ አደጋ የ13 ሰዎች ህይወት ማለፉን ፖሊስ አስታወቀ።

 ",neutral
"አብይን ለመደገፍ ስናቅማማ
አገር ልናጣ ነው። ጎበዝ ንቃ... እንንቃ!",neutral
እኔ አድናቂዎ አይደለሁም - የቅርብ ጓደኛዬ ነኝ ,positive
 ጀኔራል አል ሲሲ አሁን ኢትዮጵያ መረጋጋት ያላትም ብሎ ነው ድርድሩን እያጣደፈ ያለው የኛስ መንግስት ከምርጫ በኇላ ነው የምደራደረው በማለት ድርድሩን ለምን አያዋትትም?? የተፋሰሱ ሀገራትስ ለምን የድርድሩ አካል አልሆኑም?,neutral
" እኔኮ በጎ ጎናቸውን ስል በአጠቃላይ ለአገሪቱ ስለሰሩት ማለቴ ነበር። ሙስሊሙንማ ለማጥቃት ለማግለል ሲዶልቱ እንደኖሩ ነው የማምነው። ያም ቢሆን የዋሏቸው ውለታዎች ይኖራሉ። በአካፋ ወስዶ በማንኪያ መመለስ ቢሆንም!

ለምሳሌ ቁርአን ማስተርጎማቸው!",negative
አብይ አህመድ  ለህወሀት  ያቀረበው ጥያቄ መልስ ባለማግኘቱ ከፍተኛ ቀውስ ላይ ይገኛል።,negative
ለዘመናት በዚህ የተሳሳተ መንገድ ሄደው ስህተት መሆኑን ተረድተው ብዙ ፖለቲከኞች ተመልሰው የህዝባችን ችግር የኢትዮጵያ ችግር ሲፈታ ይፈታል በሚሉበት ጊዜ የኔ ችግር ቅድምያ ካልተመለሰ ማለት ተራማጅና ለዚህ ዘመን የሚመጥን የመፍትሄ ሀሳብ አይደለም,neutral
  አይ የአእምሮ ድህነት,negative
 እኛ አንበሳነታችንን ልንፍቀው ስለማንችል ያው አንች አንበሳ እንዳልሆን አስቢና ቻይው። ,neutral
   ማን ነው ነፃ አውጪ ማንስ ነው ነፃ ተወጪ?!  እንዲህ ብሎ ነገረ የለም አራት ነጥብ,neutral
"ቆይ ግን ፡ ሳስበው፡ ተላላኪው ታምራትን ምን ትሉታላችሁ፡ እሱ ተራ ጋዜጠኛ ነው፡ ይሄ ሰውዬ እያለላችሁ፡ አሰብን ለመያዝ ስንት ኢትዮጵያኖችን አሰልፎ የተዋጋን፡ አሁንም በዚህ ጉዳይ እየሰራ ያለ፡
",negative
  እንዴ እምቧእ ያደግኩበት ዘፈንኮ ነው። አስታየቴ ደግሞ ዘፈኑ ላይ አልነብረም። አሁን ህንፃን ለማናደድ አጀንደው ያነሳሽው። በስማም,neutral
 ስለ ሀጢአትዎ ንስሀ ለመግባት በጣም ዘግይቷል ፡፡ አማልክቱን ከላይ ወድቀሀቸዋል። ተመልከት. ከፍ ላሉት መፀለይ መጀመር ይጀምሩ ወይም ራስዎን ከዚህ በታች ያገኛሉ,neutral
ለማ = አፍራሽ ,negative
 ...በጣም ጥሩ ሀሳብ ነዉ። ግን እነዚህ ክበቦች ለዉጭ ደምበኛ አገልግሎት ይሰጣሉ ?,positive
 መወደድ ሲያንስህ ነው ማ ላይ ምን መሰራት እንዳለበት የገባህ አንተ ብቻ ነህ ለተማሪዎች _የምታደረገውን እገዛ የሚደነቅ ነው,positive
rt  ብሄርን ተገን ተደርጎ የሚደረግ የፖለቲካ ጫወታ ይቁም !! ,neutral
"rt  tamrat kebede: ""በታሰርንበት ወቅት ዋለልኝ ኢትዮጵያ የራሳቸው ባህል፣ ታሪክ እና የኑሮ ዘዴ የነበራቸው ህዝቦች ሁሉም እኩል መብታቸው ካልተከበረባት በገዢዎች ምናብ ያለች አስመሳይ ናት እያለ ይ…",negative
ለኢትዮጵያ ከ20 አመት በታች ሴቶች ብሄራዊ ቡድን 23 ተጫዋቾች ጥሪ ተደረገላቸው ,neutral
  ታምራት ነገራ በጠራራ ፀሀይ ህልም ማየት መብቱ ነው። እንዲህ አይነቶቹን መርዳት ያስቸግራል።,negative
"አሁን፦

«የኢትዮጵያ ቴአትር እና ስነፅሁፍ ታሪክ ከልደቱ እስከ እድገቱ - ቅፅ ፩» መፅሀፍ ምርቃት፡፡ 
ኢትዮጵያ ሆቴል 
አዲስ አበባ ",neutral
"ኢዜማ ለኦሮሞ ብሄርተኞች የሚያደርግርውን ጥንቃቄ ለሌላው የሚነፍገው ለምን ይሆን? 
ኢዜማ በአማራ እየተወገዘ ያለው የሰለጠነ ፖለቲካ አራማጅ ስለሆነ ነውን? 
""ብርሀኑ ናዝሬት፥ደብረዘይት ብሎ መጥራት እየፈራ ያለበት ሁኔታ ነው ያለው።"" ያደገበትን!",negative
አማራ ክልል ያሉት ባህርዳር፣ጎንደር፣ወልድያና ወሎ ዩንቨርስቲዎች ወይ በከፊል ወይም ሙሉ ለሙሉ መዘጋት አለባቸው።የሀገር ማፈሪያዎች,neutral
የመንግስት ፕሮጀክቶች በታቀደላቸው ጊዜ እና በተሰፈረላቸው በጀት መጠናቀቅ ባለመቻላቸው ከፍተኛ የሀብት ብክነት እንዳስከተሉ ይነገራል፡፡2/2,neutral
"የኢትዮጵያ ህዝብ ፈረደበት 
ሬድዋን ሁሴንን ሲገላገል ንጉሱ ጥላሁን የሚባል ቀዳዳ መጣለት 
ሀይለ ማርያም ደሳለኝ እንኳን ሄደ ብሎ ጮቤ ሲረግጥ አፈ ቅቤው መርዘኛ እባብ ኮሎኔል አብይ አህመድን ተካለት 
ፀሎት ያስፈልጋል !",negative
እስቲ አንተ ንገረኝ: እሱ ትክክል ነው? ከኤርትራ ጋር እንደዛ መሆን አለበት እያልክ ነው? እንደዛ ማድረግ አለብን እያልክ ነው? ,neutral
የብዙዎቻችን የዩኒቨርሲቲ ህይወት እዚህ እንደተጠቀሰው ነበር። ዛሬ ምን አዲስ ነገር ተፈጥሮ ነው የሚጋደሉት? ለምንስ በአማራና በኦሮሚያ ክልል በሚገኙ ዩኒቨርሲቲዎች ላይ ችግሩ ባሰ? ,neutral
"#ልዩ የተፈጥሮ ገፅታ 
   ምስራቅ ጎጃም ዞን ጎዛምን ወረዳ…",neutral
rt  bbc news አማርኛ - ጃዋር መሀመድ ኦሮሞ ፌደራሊስት ኮንግረስን መቀላቀሉን ፓርቲው አረጋገጠ ,neutral
  አርቲስቱ በርገርና ፒዛ እና ሌሎች ጀንክ ምግቦችን ካልበላ ኑሮው መለወጡን አያምንም። ለዛ ነው ክሊፕ ባወጣ በማግስቱ ሶስት እጥፍ ወፍሮ የሚያድረው።,neutral
 ድንጋይና ጃዋር አብረዉ ቢቀቀሉ ድንጋይ ቀድሞ የሚበስል ይመስለኛል። ሲደመድም እንኳን የፓለቲካ ሳይንቲስት ስለፓለቲካ ምንም እዉቀት  ከሌለዉ ተራ ግለሰብ በባሰ ነዉ።,neutral
ጠሚር አብይ አህመድ በሚታሙባቸው ሁለት ነገሮች ላይ ደጋግመው ሲናገሩ ሰማሁ እውነትና እውቀት 12ንኛ ክፍል ሳያጠናቅቅ ዶክትሬት በቆረጣ ያገኘ የራሱን ኢታማዦር ሹም በሻጥር  የገደለ ሰው ስለውነት ሊያወራ አይገባም ከሁለቱም የሉም ።,negative
ሀበሻ እኮ በአመት ሁለት ጊዜ 'መልካም አዲስ አመት' የሚል ግራ የተጋባ ህዝብ ነው !!!,negative
 ፓ!  አናመሰግንም እኮ እኛ ሰዎች ስንባል። ቪቫ መንግስታችን!!! ,neutral
rt  የምኒልክ ቤተ መንግስት ከ1898 በፊት የነበረው ገፅታ ,neutral
  ትምህርት ነፃ መሆኑ የግጭት መንስኤ ሆኗል የሚሉ ባለስልጣኖች መኖር የሚነግረን አንድ ትልቅ ነገር ቢኖር አሁን በየኮሌጁ ያለዉን ችግር ለምን መፍታት እንዳቃታቸዉ ነዉ! incompetence!,neutral
"rt  በመቀሌ አሰቃቂ እስርቤት ዉስጥ ከ24 አመታት በላይ በእግር ብረት ታስረው ሲማቅቁ የኖሩት የሊቁ መምህር እንደስራቸው አግማሴ ጉዳይ ግን የተ ደረሰ? ያንድ ወቅት ጫጫታ ብቻ ሁኖ ቀረ?
ታላቁ…",neutral
"በእናንተ ጥቆማ መሰረት 12 መፅሀፍትን መርጠናል!!! 

የመጀመሪያ መፅሀፋችን የማያ አንጅሎ ""ሌተርስ ቱ ማይ ዶተር"" ነው:: መፅሀፉን ማግኛት ካልቻላችሁ የግል መልእክት በመላክ ንገሩን እንልካለን::

መልካም ንባብ!!! ",neutral
 ምን አይነት ደነዝ ነው ,negative
"አሜን ይመጣል 
  ደስ የሚል ዝማሬ ነው ዘማሪ ጵኒኤል ጌታ ይባርክህ ተባረክ 
doxa arts studio በቆንጆና ለአይን በሚማርክ ቀረፃና ኤዲቲንግ መልእክቱን አድርሶናል ተባረኩ 
   እናተም ስምታችሁ ተባረኩበት ",positive
"ስልጡን ህዝቦች ነን ስንል በምክንያት ነውለማ በሀሳብ ይሞግታል
አሳምነው በጥይት ይቆላል። ",neutral
rt  ደም ደም ተወስomል ደምዎ ተገፍedል ጥፋተኛ ሆኖ ካልተገደለ እርስዎ አይሞቱም ካላደረጉ ሞትዎን ካላሟሉ እርስዎ ይጠፋሉ ፣ ሁሉም ተስፋዎች ቢኖሩም ለደምዎ ቢያስቸግር የእርስዎ ሆም ወደ ውስጡ…,neutral
 እግዚአብሄር ነብሳቸውን ይማርልን! ቤተሰቦቻቸውን ያፅናናልን!,positive
"በመቀሌ አሰቃቂ እስርቤት ዉስጥ ከ24 አመታት በላይ በእግር ብረት ታስረው ሲማቅቁ የኖሩት የሊቁ መምህር እንደስራቸው አግማሴ ጉዳይ ግን የተ ደረሰ? ያንድ ወቅት ጫጫታ ብቻ ሁኖ ቀረ?
ታላቁን የቤ/ን ሊቅ እንድትፈቱልን በልኡል እ/ር ስም እንጠይቃለን! ",neutral
"ሱስ አልባው ብልፅግና ፓርቲ ከኢህአዴግ ቀይ ወንበር ወደ ሰማያዊ ተሸጋግሯል።

ሁልጊዜም የአቀማመጥ ዝብርቅርቅነት ይገርመኛል። ",neutral
አህመዲን ጀበል የእምነት ሰው ሳይሆን የኦነግ የውስጥ ስራ አስፈፃሚ ነው:: ,negative
  መልካምነትህን አደንቃለሁ። ግን ክቡር ጠቅላይ ሚኒስትር ቅድሚያ ለሚሰጠው ስጥ ።ይህን ነገር እኛ ተራ ዜጎች እናደርገዋለን አንተ የሀገራችንን ሰላም እና ፀጥታ አስከብር እንዲሁም በሀገሪቱ ላይ የሚታዩትን ህገወጥንትን እና አድሎአዊነትን አስወግድ,positive
  እውነት የኤርትራ ህዝብ ነፃ ወጧል?  ነፃ መውጣት ማለት ምን ማለት ነው?,negative
 እኛም እናመሰግናቸዋለን ከፈጣሪ በታች,positive
 በሴራችሁ እየበተናችሁት እያኮላሻችሁት  እንዴት ብሎ ወደ አንድ ይምጣ? ኢሳት እንኳን አራተኛ መንግስት ይሆናል ብለን ተስፋ ያደረግንበትን ተቋም አሽመድምዳችሁ ቁጭ አደረጋችሁት።,negative
rt    በጥባጭና በሀሳብ ልእልና የማያምን ወጠጤ ሰሜን ይሁን ደቡብ ምስራቅ ወይም ምእራብ የዲሞክራሲ ጅምራችን ጠላት ነዉና መወገዝ አለበት!ኢትዮጵያዊነት ከጉልበት ውጭ ሌላ ምንም…,negative
"""ነፃ!"" አላሉም! ሳቅስ ! አንድም ነፃ እና ገለልተኛ ጋዜጠኛ የለም ሁሉም ወገንተኛ ነው! ",neutral
      መጠጡ እኮ ከሁለገቧ ጋር ነው ከናንተጋር ሀሪፍ ቡና ነው .....,positive
ከዚህ ቀደም በነበረው አዋጅ 80 በመቶ ኤክሳይዝ ታክስ ይከፈልበት የነበረው የልብስ ማጠቢያ ማሽን በተሻሻለው ረቂቅ አዋጅ ከኤክሳይዝ ታክስ ነፃ እንዲሆን ተደርጓል ተብሏል፡፡ 2/3,neutral
"መሰሪው ሀይለስላሴ ወደ ወሎ ድርቅ ተፈጥሯል ብለውት መጣ። የት እንደተገኘ የማይታወቅ ቄጠማ አስጎዘጎዘ።አገሩ ለም ነው ድርቅ የለም አስባለ።ከመጣሁ አይቀር ብሎ አንዳንድ ዳቦ በነፍስወከፍ ሰጦ ሄዴ። 
እሾህ!",negative
 እውነት ነው ናቲዬ። ነገሩ አማራ ክልል ወይም ሌላ ቦታ ቢሆን አሰብኩትኮ... ቆሻሾች!,positive
 ጥሩ ሀሳብ,positive
" ሁለት እጆቹ ወደ እግዚሄር የሚለምን እስኪመስል ድረስ ተማርኮ ፡ አልተሽንፍንም ብሎ አፉን እስኪቀደድ ያወራው የቀድሞ ፈርጣጭ ወተሀደር ደርግ ፡ እንዴት ነው ስለ ሀቅ መስካሪ የተባለው ""ለባም ፅዉእ ሸያብ አይትፀዉእ"" ያገሬ ሰው ሲተርት !!",neutral
 ሞትን ምን አመጣው በዚያ ሰአት?,negative
   እራስን እድል በራስ መወሰን የሚለው መብት ሲጀመር ለግለሰብ እንጂ ለቡድን የሚሰጥ መብት አይደለም፡፡ ቅድም ኢዜማ በፌዴራል አወቃቀር ላይ ያለውን ሀሳብ አንብያለሁ ብለኸኛል አይደል? ድገመው ሙሉ መልሱን እዛ ላይ ታገኛለህ፡፡,negative
"የኢትዮጵያ እስልምና ጉዳዮች ጠቅላይ ምክር ቤት የተሰማውን ቅሬታና የሞጣውን ጥቃት ሪፖርት ይፋ አደረገ 

(ሙሉ መግለጫውን ምስሉን በመጫን ይመልከቱት)

 ",neutral
"ትላንትና ከሴት ወዳጆቼ ጋር ሻይ_ ቡና እያለን ሳለ ጨዋታችን ወደ ወቅታዊ የኢትዮጵያ ፖለቲካ ትኩሳት ወስዶን... መረቅ የሆነ ትንተና ሰምቼ ... አለሁ

በምክንያት|በመረጃ|በማስረጃ 

ሴቶች ወደፊት መጣ በሉ!
በፈጣሪ ይህን ጊዜ በብልሀት አሻግሩን?",neutral
ሱሬ ፕሮግራማችሁን ተከታትየዋለሁ ይበል የሚያሰኝ ነው ነገርግን ከዚ በላይ ብዙ ሀሳቦችን ታነሳላችሁ ብዬ እገምታለሁ ጥሩ ጅምር ነው በርቱ። ,positive
"  
ሸፍጡ የበዛው ባሉካው እዚህ ደርሶ ከተመለሰ ነው?",neutral
 ይሄን የመሰለ ልጅ በመንግስት ትመስይው ሰላምዬ,neutral
"ኑዛዜው ""አባቴ መለስ ዜናዊ ጎን ቅበሩኝ"" ነው:: እውነት አቸነፈ! ",neutral
 ስለሙዚቃ ያለህን ርቀት መመጠን ማሰቡ ራሱ ያደክማል፦ በዚያ ላይ የብሄር ቅመም ጨምረህበት። ኢትዮጵያ ውስጥ ታታሪ ያልሆነ ህዝብ የለም። ውርጋጥ ግለሰቦች ነፍ ናችሁ።,neutral
 አረ ተው እስክንድር እንደዛ ያለ ሰው የለም። ምናልባት በተሳሳተ መንገድ ተረድተኸው እንዳይሆን?,neutral
 ልደቱ የኢትዮጵያን ፖለቲካ ጥንቅቅ አድርጎ የሚያዉቅ እዉነተኛ ሰዉ ስለሆነ ነዋ!!!,positive
"አብይና ትራምፕ በምን ተስማምታችሁ ነበር አገር ያዳናችሁ? ምስጢርማ አለ! (ትራምፕ ትላንት ሲናገር ውል ነበረን ብሏል)
ስለ ኖቤሉ እንመጣበታለን!",neutral
እንዲህ አይነት ርእስ ፅፎ ለበአል ይጠብቁን ድንግርግር ይላል ግን አሻም በበአልም አልቀልድም ካለ ምን ይደረግ?   ስሜነህ አያሌውና ሱራፌል ሲጠይቁ እንኳን ብንሰማ ይሻለናል በውነት። ,positive
አንድነት ፖርክ አኩሪና እስደሳች ነገሮች ሲኖሩት ከደርግ ዘመን ጋር የተያያዙ አሳዛኝ ስፍራዎችም አሉበት:: ታሪካችን በመሆኑ ግን ሁሉንም ማየት ማስታወስ ተገቢ ነው:: 'ሳሊን ማግኘት'ም በንደዚሁ አስተሳሰብ የተሰራ ፊልም ነው:: ,positive
" the desert.
ምግቡ ምንድን ነው?  ብርቱካን ከእንጀራ ጎን?  አረ ተው የመአድ ስርአት ይከበር።",neutral
   ብዙ እናውቅላችኇለን ባዮችና ሁሉንም አንድ ላይ ጨፍልቀው ተሳዳቢዎች ባሉበት - ስራ የሚሰሩት ሰዎች ቢሳደቡ አይገርመኝም። አንዳችሁም ስለተሰራ መልካም ነገር ስታበረታቱና ስትደግፉ አይቼ አላውቅም። አቃቂር አውጪውና ዶላቹ ይበዛል።,neutral
"  ባህር ዛፍ ? ደግሞ ችግኜን ነቀልክ ብሎ በውሀ ማጠጫ መኪና እንዳይገጨኝ btw ሰው ሁሉ snip snip ይላል - ሼር አላችሁ እንዴ? lol  እንደ ቆሎ ቆረጠምኩት ምንም ጥቅም የለውም 
አነ ማር በወተት , ዝንጅብል ጥሩ ለውጥ እያመጡ ነው",neutral
"  እኔ የማይረባ ጭቅጭቅ አልወድም። ኪራይ ሰብሳቢ ነኝ እሱንም በርትቼ እታገላለሁ እልና ምድረ-ካድሬ ሳይጨቀጭቀኝ በቀላሉ እገላገላለሁ። አንዴ እንደውም ""ትምክተኝነትና ጠባብነት ይስተዋልብኛል"" ብዬ ሁለቱንማ ልትሆን አትችልም ብለው አፋጠውኝ ነበር ",neutral
 ያሰብከው ሁሉ ይሳካ!  በእውነትና እውቀትና በተመሰረትርው ራእይ ፓርቲ ኢትዮጵያና ህዝቦችዋ ታፍረውና ተከውረው ይኖራሉ።,negative
"በጥቃቱ ሌሎች ስድስት ሰዎች እንደሞቱ የታወቀ ሲሆን የኢራቅ ሚሊሺያ ኮማንደር የነበረው አቡ ማህዲ አል- ሙሀንዲስ ይገኝበታል ተብሏል። 

ቃሲም ሱሌማኒ ከኢራን ጠቅላይ መሪ አሊ ሆመኒይ በመቀጠል ከፍተኛው ባለስልጣን እንደነበሩ ይታወቃል።",negative
  ሀገር ወገን አንደለለዉ ወጣቱን በከፍተኛ እንግልትና ሰቆቃ እያሰቃየዉ ያለውን ይህን አሰከፊ ሰርአት ምን ይሉታል:: መነሻዉ ቅጥ ያጣዉ የኦሮሞ የበለይነትና የተረኝነት ሰሜት እንደሆነ ግልፅ ሆኖ ሳለ ለምን መንግስት መፍትሄ ሊሰጠዉ ዳተኛ ሆነ,negative
 ለምን እንደምትጎርር አሁን ገባኝ ጌታው ,neutral
-የክልል ክለቦችን ጥንካሬ ለመቋቋምና ወደ ሊጉ ቁንጮነት ለመመለስ ፈረሰኞቹ የቡድን ግንባታ አካሄዳቸውን ከቀደመው በተለየ ማሻሻል አለባቸው? ወይስ ችግሩ ያለው በሂደቱ ላይ ሳይሆን በአፈፃፀሙ ላይ ነው?2/2,neutral
አዲሱ ተቃዋሚ ፓርቲ ሳልሳይ ወያነ ትግራይ (ሳወት) ከነገ ጀምሮ የመጀመሪያው ጠቅላይ ጉባኤው ያደርጋል፡፡ሳወት በጉባኤው ፕሮግራሙ ያፀድቃል፣አመራሮቹ ይመርጣል ተብሏል፡፡ሳወት የኢፌዲሪ ህገ-መንግስት እንዲሻሻል ከሚጠይቁ ፓርቲዎች መካከል ነው፡፡ ,neutral
ኦነግ፣ ኦፌኮ እና ኦብታ ጥምረት መሰረቱ። የሚበረታታ ነው!,positive
ዛሬ ለኔ ልዩ ቀን ነው,neutral
ህወሀት ተሰንጥቋል። ግን መሰንጠቁ መች ይፋ ይሆናል ነው ጥያቄው!,neutral
 define እኛ። ግቢ ውስጥ የሚደባደበውም ተጠያቂ ይሁን።,neutral
 ሀቅ ነው! አሁንም እየተጫወተ ነው። አንዳንድ ሙዚቃ አይጠገብም እኮ,positive
 correction መምሪያው የወጣበት ቀን not የፀናበት (ስራ) ላይ የዋለበት አይደለም,neutral
     ኧረ ስለ በግ ነው ወሬው አንቀላቅል,neutral
""" ህፃን ተወልዶልናልና፥ ወንድ ልጅም ተሰጥቶናልና፤ አለቅነትም በጫንቃው ላይ ይሆናል፤ ስሙም ድንቅ መካር፥ ሀያል አምላክ፥ የዘላለም አባት፥ የሰላም አለቃ ተብሎ ይጠራል።""
(ትንቢተ ኢሳይያስ 9:6) ",positive
በአዲስ አበባ ከተማ ውስጥ የክልል መንግስታት በክልላቸው ዉስጥ ያሉትን የተለያዩ ባህሎች የሚያስተዋዉቁበት የባህል ማህከል ሊያቋቁሙ ይገባል። አዲስ አበባ የአዲስ አበቤዎችና የኢትዮጵያ ህዝብ ዋና ከተማ ነች።,neutral
   ምፅ...ከባድ ስህተት,neutral
የሰላም ሚስትሯ የሞጣ ጥቃት አይመለከታት ይሆን?,neutral
ሺህ ጦር አብዛ የፈለክበት ቤመ ተቀመጥ አማራን ማንበርከክ አይቻልም!! ,negative
በአማራ ክልል ሰላም በማደፍረስ የተጠረጠሩ 130 ሰዎች በቁጥጥር ስር ዋሉ ,neutral
የገና በአል ከግዜ በሀላ አብዛኞቻችን ከተጠናወተን የዘረኝነት በሽታ ወጥተን በድጋሚ ተወልደን ታላቅ የነበረችውን ሀገራችንን በዘመናችን ታላቅ ለማድረግ ለራሳችን ቃል የምነገባበትና የራሳችንን አሻራ የምናስቀምጥበት እንደያድርግልን ምኞቴ ነው::,neutral
  እግዚአብሄር ያክብርህ አብያችን ማክበር ያስከብራል !!!!,positive
"ወደ ኤፌሶን ሰዎች-ephesians :6
  17 የመዳንንም ራስ ቁር የመንፈስንም ሰይፍ ያዙ እርሱም የእግዚአብሄር ቃል ነው።",positive
bbc news አማርኛ - 'ልጃችንን እንደ ክርስቲያንም እንደ ሙስሊምም ነው የምናሳድጋት' ,neutral
"ኢሰፓ ከ ኢሰፓኮ ሲወለድ የነበረው ፍንደቃ እንዲሁ ነበር:: የአመሰራረቱ ችግር 
ሲጠፋም ከነአካቴው ነው የጠፋው:: የብልፅግና ፓርቲ ከዚህ ትምህርት አልቀሰመም::  የኢሰፓ ፓርቲ አባላት በአሁኑ ሰአት የትነው ያሉት? ",neutral
ፓትርያሪኩ ሰለመስጂድ ቃጠሎ የተናገሩት ...... ,neutral
 አሜን  !,neutral
ሳላሀዲን ሰኢድ ለፈረሰኞቹ ተስፋን ይዞ መጥቷል ,positive
አብ አለም እታ እንኮ ብግዝያውን ህዝቢ ዘይመረፆን መንግስቲ ን30 አመት መመላእታ ዝተመርሀትን ትምራህ ዘላን ሀገር ኤርትራና ጥራይ እያ።ሀገርና ብሰንኪ ህግደፍ አብነት ስደት ሞት ማእሰርቲ ኮይና ትርከብ።,negative
   ... all of you የባዮሎጂ አስተማሪዎቻችን  እሄንን ቢሰሙ እራሳቸውን ያጠፉ ነበር,negative
" ፋሽን ነው!
ከከፍታ መውረድ ማለት ይህ ነው
   ልጅቷን የማትፈልገውን ድምፅ 
    እንድታወጣ አስገደዳት",negative
ማንን ለማሳሳት ታስቦ ነው? ማንን አቋም ለማስቀየር እየተሴረ ነው?  ,neutral
 መልካም የሰራ ዘመን ይሁንላቹ ብለናል,positive
 ዱንያ ብላሽ ማለት ያለበት ሰው ተገኘ ,neutral
 የኮሌራ ክትባት ዘመቻ በደቡብ,neutral
  ደንበጫ ወይም ፋርጣ ላይ የሚወዳደር መሰለው እንዴ?,negative
ብልፅግና ፖርቲ (pp) አዳዲስ ሹመኞች ,positive
የተለያዩ የበግ፣ የፍየልና የበሬ ቆዳ አይነቶች ላይ ተጥሎ የነበረው የኤክስፖርት ቀረጥ ሙሉ በሙሉ ተነሳ ,positive
 እሄ እኮ አሁን ብቻ የተፃፈ አይደለም ላለፉት 3አስርት አመታት የታሪክ ትምህርቱ አንድን ማግነን አንድን በጥላቻ ውስጥ እንዲገባ ሚያረግ ነበር ጥላቻን ተምረው ስለመጡ ነው ዛሬ በ2አመት ውስጥ የመጣ አይደለም ለዛም ነው ሀገሪቷ በጥላቻ የታመሰችው!,neutral
 የምርጫ ውጤት ሰርፕራይዝ ሲሆን ይጥማል።,neutral
መልካም   2020  ለኢትዮጲያን  ሁሉ!,positive
የኢራቅ ተቃዋሚዎች ባግዳድ ከሚገኘው የአሜሪካ ኤምባሲ አካባቢ መመለስ ጀመሩ፡፡ በኤምባሲው ላይ ትናንት ጥቃት መድረሱ ይታወቃል፡፡ ,neutral
"ሰማይም ምድርም የተቀበለውን መሪ አልቀበልም ብትል ያነተን ጤናማ አለመሆን ይገርማል እኛ ከአቢይ ጋር መቀጠል
ብቻ ነው በቃ ምንም አታመጣም:: ",neutral
"  ያለመሰልቸት እንጥራለን የተከበሩ ጠቅላያችን
ብቻ ወደ ቀድሞ ልእልናችን ወደ ብልፅግና እንድረስ",positive
"""ደሙን አፍሶ አጥንቱን ከስክሶ የገነባትና ከብት አየነዳ ድንገት ያረፈባት ብትፈርስ እኩል አይሰማውም""
ዳመነ በላይነህ",negative
የጌታቸው አረጋዊም ቃለመጠይቅ ተከታትየዎለሁኝ መንዳታ ነው ዳግማይ ክብሮም ነው ።ltv ግን ሁቡእ ድርታቹኮ የዛሬ አስራምናምን አመትኮ ነው ምናቀው ።አራዊት ሁላ,neutral
"የክልሎች ግንኙነት ረቂቅ አዋጅ ላይ ለመወያየት የአንድም ክልል ተወካይ አልተገኘም
ዘገባው የኢትዮጵያፕሬስ ኤጀንሲ ነው
 
ታህሳስ 26 ቀን 2012 አ.ም ",negative
  የማንንም ፍልጥ ሰብስቦ አዲስ አበቤ እያለ ሰገጤ ያራዳ ልጆችን ሙድ ሊይዝባቸው ሲሞክር !?,negative
